Re  n  average_num_mergers  average_highest_mass  median_num_mergers  median_highest_mass  standard_dev_number standrad_dev_mass 
0.1 0.5 28.8 58.58349829279973 29.0 58.11693869176594 7.025667228100119 4.250427934357923
0.6 0.5 11.6 41.4855829394191 12.5 43.47739805493265 2.2891046284519194 4.293295201521499
1.1 0.5 5.7 30.88405877121965 5.5 30.741478655112697 2.0518284528683193 5.799389584577319
1.6 0.5 2.9 19.418325674693115 3.0 19.285824996838464 1.1357816691600549 5.148040157638368
2.1 0.5 1.8 16.062296205335905 1.5 10.942403110087437 1.1661903789690602 8.855547781826415
2.6 0.5 0.6 14.540707516929478 0.0 11.257263046073227 1.2 8.036385290654325
3.1 0.5 0.5 13.406903987050546 0.0 12.406496096571104 0.6708203932499369 5.957687345797114
3.6 0.5 0.3 12.2246097113965 0.0 9.495832101354743 0.45825756949558394 6.889478192145436
4.1 0.5 0.1 17.67072194113154 0.0 8.162301873411314 0.30000000000000004 24.070771334496666
4.6 0.5 0.1 11.945038774476942 0.0 8.984812182558738 0.30000000000000004 6.933369397000843
5.1 0.5 0.0 10.757042606385502 0.0 8.973368748613698 0.0 6.541379309358225
5.6 0.5 0.0 11.068071372010493 0.0 6.9000977578620875 0.0 7.881808567157757
6.1 0.5 0.0 9.919523193968796 0.0 10.769838579203109 0.0 4.278182417686881
6.6 0.5 0.0 12.506182608198966 0.0 8.887672506324225 0.0 7.168798041696979
7.1 0.5 0.0 9.251395623432122 0.0 7.969974851951555 0.0 3.4982698803390218
7.6 0.5 0.2 9.579376489226075 0.0 9.443631226129131 0.6000000000000001 4.649460341162835
8.1 0.5 0.1 9.439483581633075 0.0 8.162301873411314 0.30000000000000004 4.684099228950257
8.6 0.5 0.1 11.996656288133552 0.0 9.491800100153396 0.30000000000000004 7.7899800467635965
9.1 0.5 0.0 6.835301255373468 0.0 6.564300034325688 0.0 1.674142639527328
9.6 0.5 0.0 6.934773622457344 0.0 5.7116201710552446 0.0 2.856572837975676
10.1 0.5 0.0 9.424475486704141 0.0 6.301745798713577 0.0 5.751450101578834
